crop,region,soil_type,rainfall_mm,avg_temp_c,humidity_pct,sunlight_hours,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_organic_matter_pct,fertilizer_kg_ha,irrigation_mm,pesticide_l_ha,ndvi,planting_density_k_per_ha,days_to_harvest,yield_tons_per_ha
Rice,West,Sandy,891.0,30.1,80.8,5.55,6.14,48.6,30.0,46.3,1.75,1.4,159.8,2.11,0.583,61.4,120,4.354
Maize,South,Clayey,943.7,26.1,55.3,6.31,6.18,43.9,41.5,57.4,2.98,142.0,454.9,2.4,0.378,75.9,117,4.945
Rice,West,Clayey,775.0,23.8,57.9,5.27,6.56,55.9,25.8,33.1,3.14,131.0,282.0,1.83,0.466,114.1,114,4.348
Soybean,West,Clayey,859.3,23.4,55.0,8.04,5.53,48.3,51.8,69.3,3.93,75.5,272.9,3.39,0.631,77.5,135,1.887
Wheat,South,Silty,1246.3,22.8,65.4,5.78,5.55,68.6,28.0,37.5,3.66,107.9,271.5,2.91,0.544,80.3,139,3.237
Cotton,South,Silty,624.6,27.9,45.4,7.02,5.68,63.4,20.2,59.3,2.92,126.2,571.2,0.91,0.416,61.3,103,1.653
Rice,North,Silty,438.6,24.8,48.2,10.56,6.88,51.4,40.0,52.1,4.04,170.4,242.8,2.66,0.594,88.1,122,4.742
Maize,East,Clayey,316.5,19.6,27.5,7.18,6.69,64.1,49.1,37.3,2.65,75.4,548.5,3.08,0.489,58.9,117,4.774
Wheat,South,Silty,1138.9,19.3,54.0,6.83,7.3,53.5,57.9,51.8,2.69,99.9,403.6,2.01,0.688,76.1,120,3.234
Rice,North,Clayey,1142.2,25.8,76.0,6.86,5.28,32.7,20.7,46.8,3.85,175.3,167.4,2.74,0.828,25.7,157,4.882
Soybean,East,Clayey,468.9,26.6,57.7,8.0,5.44,63.3,57.1,20.3,3.96,187.3,184.6,3.34,0.775,80.5,130,2.568
Rice,East,Silty,518.2,22.1,58.6,7.82,6.82,21.5,42.2,43.8,3.98,301.9,323.0,1.94,0.461,83.2,146,4.771
Wheat,North,Silty,619.0,17.2,64.2,5.49,5.89,5.0,32.5,27.5,2.82,154.2,312.5,2.39,0.507,65.0,115,3.141
Maize,North,Loamy,1006.1,31.5,45.0,6.38,5.94,60.5,48.2,52.1,3.07,182.1,252.2,1.57,0.369,69.3,92,4.101
Wheat,North,Silty,378.2,30.2,60.4,6.0,7.21,56.7,56.3,43.0,2.13,130.6,235.8,2.58,0.768,66.3,147,3.27
Rice,West,Clayey,208.3,12.1,73.4,6.58,6.11,55.7,19.9,57.3,3.9,228.2,485.9,1.1,0.621,93.4,138,4.493
Maize,South,Silty,1241.9,32.0,64.6,9.74,6.19,70.8,34.8,35.2,2.41,88.1,318.5,2.71,0.84,69.1,108,3.896
Maize,North,Clayey,778.1,22.7,74.7,7.93,6.32,49.6,33.5,26.9,1.0,140.0,356.4,3.59,0.691,107.6,115,4.633
Soybean,North,Silty,813.6,25.1,79.0,6.88,6.37,44.3,47.5,29.9,2.56,159.1,314.1,1.17,0.533,108.6,134,1.869
Soybean,Central,Sandy,648.7,30.8,69.9,8.87,6.98,61.9,57.5,73.3,2.14,173.3,305.2,3.39,0.334,81.1,129,1.945
Cotton,South,Loamy,816.4,33.9,49.3,7.28,5.65,39.3,40.9,87.4,0.29,200.2,558.5,2.04,0.646,110.8,117,1.712
Wheat,West,Loamy,321.4,30.0,54.8,4.54,6.37,46.4,36.5,73.0,2.43,131.8,368.8,1.43,0.916,109.0,93,3.343
Rice,East,Sandy,489.8,25.4,89.0,9.5,7.31,53.8,45.3,23.4,3.78,197.6,615.6,1.86,0.728,88.0,168,4.797
Wheat,North,Loamy,726.3,15.7,64.7,6.77,7.99,55.0,37.2,25.7,3.41,59.2,393.4,2.11,0.581,62.3,120,3.115
Wheat,South,Sandy,132.3,11.8,62.7,3.62,5.55,45.0,14.0,30.1,3.41,159.1,221.7,1.68,0.727,87.3,149,3.947
Rice,North,Loamy,624.4,29.3,47.1,4.6,6.73,42.6,46.2,55.8,4.43,30.8,449.3,3.22,0.71,84.5,60,4.27
Maize,West,Loamy,609.0,32.1,58.6,8.69,6.37,33.2,51.8,74.5,2.42,130.5,290.8,1.8,0.79,69.2,89,4.77
Cotton,South,Clayey,624.3,19.1,70.7,4.62,6.43,38.2,52.9,57.7,1.85,294.0,483.0,2.4,0.472,120.2,148,1.396
Soybean,East,Silty,562.2,22.4,60.2,9.02,5.95,77.3,26.1,47.7,3.49,160.0,218.9,4.2,0.665,92.9,115,2.792
Soybean,North,Loamy,451.0,20.7,52.2,7.12,7.03,46.0,47.3,32.1,3.36,115.4,109.8,1.91,0.377,56.2,146,3.114
Soybean,Central,Clayey,244.5,20.5,55.7,8.07,6.99,52.8,58.4,41.0,1.73,174.9,312.3,1.59,0.319,88.2,105,2.493
Wheat,South,Clayey,736.2,30.4,77.9,6.61,8.27,27.6,70.4,46.2,2.82,141.2,476.1,1.7,0.705,81.1,117,2.505
Cotton,East,Clayey,625.0,25.3,70.0,7.79,5.58,88.4,45.7,57.4,3.54,76.5,224.3,3.19,0.787,88.9,101,1.888
Cotton,Central,Loamy,356.2,22.6,68.0,7.47,5.28,37.1,51.8,38.0,3.27,33.3,369.6,1.98,0.601,76.7,144,1.78
Wheat,West,Clayey,715.6,39.9,66.6,6.94,7.94,32.4,28.1,50.6,3.73,143.3,219.1,2.34,0.587,54.9,112,2.607
Maize,West,Loamy,626.3,15.4,42.3,5.4,6.46,49.1,26.5,48.9,2.33,132.3,413.3,1.37,0.652,101.3,141,4.599
Cotton,Central,Loamy,584.7,27.3,64.1,7.54,6.18,36.6,51.8,46.4,1.58,128.8,256.2,1.77,0.773,116.0,158,1.753
Maize,North,Sandy,160.8,17.7,76.0,4.27,6.63,55.5,15.6,39.5,2.09,194.6,332.2,3.03,0.734,71.8,115,4.983
Cotton,Central,Silty,870.7,23.1,56.1,8.4,5.52,27.3,41.9,46.7,3.86,227.5,260.0,0.61,0.649,77.3,118,1.862
Cotton,East,Loamy,391.7,24.9,74.7,7.3,6.76,67.1,57.2,43.7,4.04,188.7,210.0,0.29,0.703,102.6,107,1.764
Maize,East,Silty,715.8,29.1,68.2,7.7,6.44,64.1,48.6,34.1,2.83,125.1,69.3,1.56,0.723,70.6,170,4.587
Wheat,South,Silty,497.9,22.4,72.4,3.07,7.25,48.2,48.5,57.4,4.51,153.3,144.0,1.66,0.439,97.2,117,3.413
Rice,West,Silty,602.8,21.8,60.8,5.31,7.1,25.2,39.4,67.0,2.84,212.0,266.6,1.79,0.681,78.7,114,4.796
Rice,Central,Sandy,988.1,22.3,73.3,6.24,7.16,37.8,35.1,47.4,2.49,198.7,353.9,1.82,0.407,63.9,92,4.92
Maize,West,Loamy,832.9,17.5,38.0,8.01,6.63,50.9,65.9,44.4,1.59,180.6,522.5,2.07,0.762,68.4,106,4.618
Maize,North,Loamy,982.5,27.8,60.5,5.59,7.62,31.8,54.8,55.6,2.92,116.9,237.6,1.64,0.727,79.2,109,4.04
Maize,East,Silty,782.6,25.7,70.7,10.82,6.9,34.3,50.2,47.6,4.06,212.2,223.6,3.42,0.609,80.7,147,4.244
Wheat,West,Loamy,799.0,26.6,64.4,6.61,6.13,65.7,40.3,61.0,4.27,230.7,141.0,2.88,0.572,57.1,113,3.537
Rice,South,Clayey,254.7,23.6,76.4,5.48,5.93,52.3,33.0,46.5,4.07,199.2,402.7,1.94,0.773,83.9,111,5.173
Soybean,West,Sandy,620.6,22.8,57.6,6.72,6.01,51.8,53.0,53.2,3.5,326.6,368.6,2.96,0.641,35.9,139,2.292
Wheat,West,Silty,643.8,31.1,51.8,5.57,6.91,57.9,36.3,69.3,4.6,194.9,353.7,0.0,0.639,93.5,121,3.031
Rice,North,Clayey,1005.9,30.1,35.4,5.22,5.57,47.5,40.9,62.7,2.03,218.8,341.4,2.39,0.65,95.5,93,4.768
Cotton,East,Clayey,573.4,32.5,55.9,8.52,6.61,49.1,47.4,42.8,4.19,188.4,255.2,2.91,0.661,64.7,159,1.941
Wheat,North,Silty,766.2,26.2,67.8,7.77,5.92,56.8,42.5,60.1,3.28,142.2,463.0,1.49,0.775,81.1,106,3.426
Maize,East,Silty,756.4,32.1,71.4,7.77,5.62,62.1,58.6,30.1,3.21,79.4,206.8,2.59,0.359,71.2,127,4.145
Rice,South,Sandy,989.4,21.5,39.0,8.92,5.74,57.5,24.2,42.2,1.58,103.8,243.1,1.42,0.583,72.0,131,4.13
Wheat,Central,Clayey,666.6,22.8,77.6,7.73,6.48,71.9,40.8,56.7,3.34,104.5,178.0,2.39,0.297,74.9,65,3.354
Maize,Central,Clayey,906.9,31.2,45.4,5.4,7.03,50.4,65.7,66.4,4.15,77.5,284.5,0.75,0.66,77.2,112,3.982
Maize,East,Silty,273.8,29.1,58.2,8.06,6.03,29.8,50.8,34.5,0.87,132.8,207.0,2.96,0.504,69.6,105,5.061
Wheat,East,Sandy,296.5,22.3,51.5,5.31,5.05,66.3,37.6,44.6,3.8,150.2,224.5,2.06,0.621,85.1,90,3.62
Wheat,West,Sandy,129.2,17.7,66.3,6.28,8.71,46.3,49.6,45.0,0.71,221.5,156.0,2.29,0.484,110.2,117,3.227
Wheat,West,Silty,896.5,22.8,61.4,6.93,7.28,38.5,39.4,43.7,1.58,77.7,185.0,1.98,0.477,89.3,123,2.93
Soybean,West,Silty,868.4,19.9,70.2,6.78,7.15,60.7,57.6,28.0,2.91,203.5,107.0,3.14,0.535,76.2,133,2.01
Cotton,West,Clayey,924.2,34.3,87.7,4.31,7.64,55.6,49.9,52.0,4.58,166.1,343.0,2.31,0.612,104.5,123,1.418
Wheat,Central,Loamy,530.7,28.6,66.0,5.55,6.56,30.8,29.6,27.1,2.87,172.6,196.5,3.0,0.703,103.0,119,3.299
Rice,Central,Sandy,559.1,19.4,51.3,6.97,6.41,60.1,42.9,60.9,3.47,144.2,493.3,1.51,0.489,97.6,160,4.768
Rice,North,Sandy,669.7,17.7,66.9,6.08,7.45,78.1,45.0,63.9,2.09,275.5,413.6,2.62,0.621,88.3,111,3.899
Rice,East,Clayey,1060.9,19.3,89.2,8.69,7.44,54.9,45.6,36.1,2.81,102.8,308.4,3.63,0.661,88.6,78,4.803
Rice,East,Clayey,1123.5,20.6,69.8,8.95,6.93,46.2,43.8,27.2,2.95,116.5,368.4,3.67,0.526,93.3,100,4.526
Wheat,East,Silty,898.5,23.0,74.2,5.32,7.12,25.0,46.8,44.5,4.63,157.1,403.0,0.0,0.657,103.5,148,3.103
Maize,East,Loamy,782.8,30.7,36.1,7.09,5.63,80.8,45.0,37.7,2.25,173.7,240.6,2.21,0.406,66.3,115,4.561
Rice,West,Sandy,1033.8,18.2,65.8,9.37,6.32,42.2,31.3,42.1,2.34,163.5,275.6,0.58,0.464,77.2,98,4.871
Rice,East,Clayey,636.0,37.7,56.0,6.8,7.69,28.9,34.5,46.3,4.08,147.0,429.4,1.66,0.759,98.2,138,4.052
Rice,South,Silty,602.3,18.3,49.8,6.39,7.06,51.7,37.0,32.0,2.75,181.6,437.1,1.5,0.265,82.2,159,3.81
Cotton,East,Loamy,667.7,15.5,59.7,8.29,5.48,65.1,41.1,68.2,3.11,186.1,207.4,2.65,0.549,81.9,115,1.91
Soybean,Central,Silty,455.3,34.1,61.6,6.59,6.13,68.5,37.0,36.0,3.44,147.7,575.5,1.91,0.61,97.5,136,2.093
Maize,South,Loamy,656.2,31.9,50.6,8.91,7.58,39.9,53.2,58.1,2.36,260.2,137.7,1.31,0.637,61.2,157,4.842
Rice,North,Loamy,420.6,22.9,62.8,6.11,6.82,48.5,28.5,32.5,0.95,176.5,25.7,2.58,0.642,99.0,172,4.436
Cotton,Central,Silty,956.3,26.3,57.4,6.29,6.63,50.0,19.2,45.9,4.08,133.5,506.7,1.01,0.567,61.8,134,1.835
Cotton,North,Silty,835.9,26.4,70.5,8.19,6.65,64.6,63.6,51.3,3.12,224.6,387.4,1.28,0.543,72.7,119,1.625
Wheat,West,Silty,1057.4,24.8,63.4,7.15,6.44,58.9,30.2,46.9,1.72,28.2,322.2,1.67,0.473,48.7,119,2.448
Cotton,Central,Clayey,292.7,16.2,65.6,7.16,6.13,54.1,53.2,41.4,3.78,82.5,397.2,1.85,0.832,70.8,66,1.622
Soybean,South,Clayey,1175.4,9.1,74.7,4.14,5.92,63.7,47.3,38.1,5.01,137.8,218.5,2.23,0.715,91.4,88,1.822
Wheat,South,Clayey,306.9,18.9,68.3,6.47,7.21,29.6,30.6,39.3,4.19,79.3,91.4,2.24,0.644,83.8,133,3.657
Soybean,South,Clayey,400.4,34.9,59.9,8.3,6.67,56.3,38.4,35.5,5.08,198.2,246.0,1.43,0.589,75.1,186,2.209
Wheat,North,Clayey,544.8,35.1,28.7,5.82,6.99,53.3,36.6,49.7,1.77,196.2,216.3,2.29,0.51,88.8,106,2.718
Wheat,North,Sandy,1026.9,22.4,67.7,8.05,6.88,49.2,44.3,70.6,3.25,247.9,181.4,2.13,0.593,89.0,115,3.385
Wheat,North,Silty,756.4,18.3,46.3,7.4,7.49,46.3,30.8,50.0,3.35,115.3,227.7,2.05,0.455,58.6,131,3.276
Maize,East,Sandy,639.0,25.7,58.7,6.7,6.82,52.0,37.9,53.3,2.88,184.0,229.4,0.51,0.806,101.9,159,5.623
Soybean,East,Clayey,501.8,26.6,65.6,9.04,7.08,41.4,39.6,60.2,2.67,226.8,243.4,2.49,0.468,91.6,99,2.426
Maize,North,Clayey,356.0,27.6,80.0,6.49,6.62,90.9,53.2,38.7,0.2,159.8,345.7,2.62,0.412,51.1,109,4.989
Wheat,Central,Clayey,983.2,8.8,87.6,6.59,5.84,70.4,35.1,19.7,4.69,209.2,366.9,2.78,0.95,112.4,121,3.204
Wheat,West,Clayey,899.7,42.9,46.2,6.68,6.34,66.4,28.3,45.0,1.38,144.0,335.9,2.17,0.579,74.4,124,2.33
Cotton,North,Loamy,1038.1,30.8,40.3,7.12,6.91,42.1,33.5,57.0,3.9,228.9,0.0,3.09,0.47,58.8,126,2.001
Cotton,Central,Sandy,799.2,22.8,64.9,8.15,6.97,35.6,44.4,73.1,3.01,104.3,177.9,2.5,0.715,54.5,130,1.904
Soybean,North,Sandy,50.0,19.7,63.6,4.79,7.52,46.8,18.7,31.3,2.97,56.9,179.6,1.6,0.4,48.7,135,2.369
Wheat,East,Sandy,388.9,29.9,42.0,8.3,6.18,51.7,54.4,60.4,2.79,127.3,443.6,1.95,0.496,70.4,129,3.366
Cotton,East,Silty,816.2,27.0,59.8,7.1,6.66,28.3,40.2,48.7,3.2,144.7,198.2,1.44,0.72,65.1,121,1.663
Soybean,East,Silty,607.6,24.6,69.0,7.83,6.41,57.2,45.2,39.6,3.64,176.3,72.3,1.03,0.922,57.6,87,2.585
Maize,Central,Clayey,560.3,26.8,41.5,10.59,7.64,66.2,42.6,30.4,3.95,177.1,382.7,2.71,0.754,73.7,88,4.079
Wheat,Central,Sandy,424.2,23.3,45.1,6.23,6.76,16.5,32.0,36.8,2.87,107.4,310.9,1.76,0.709,110.5,102,3.039
Cotton,South,Loamy,936.9,26.4,50.3,5.16,6.78,36.5,27.0,53.0,1.79,90.1,601.7,2.7,0.809,66.0,149,1.503
Maize,East,Silty,814.0,28.4,56.8,7.29,6.48,68.4,31.6,62.1,1.76,247.6,134.3,3.88,0.557,73.4,157,5.523
Wheat,Central,Silty,825.3,26.1,70.4,7.53,6.34,55.6,21.9,6.9,4.04,141.7,273.8,3.06,0.38,91.4,88,2.937
Rice,West,Sandy,541.6,25.7,55.1,8.31,5.49,37.0,44.2,52.2,2.73,121.5,175.5,1.05,0.495,116.1,145,4.621
Maize,Central,Silty,744.1,32.4,60.8,6.19,5.62,61.0,38.0,37.0,1.98,169.1,175.8,1.45,0.806,83.7,82,4.498
Wheat,East,Silty,365.6,14.4,93.7,5.75,6.63,41.1,21.6,38.3,2.26,91.8,201.3,2.58,0.422,89.1,137,3.643
Rice,South,Clayey,667.5,19.2,45.7,4.7,6.54,46.5,32.6,50.8,2.91,107.1,168.2,2.43,0.579,96.9,110,4.712
Maize,East,Loamy,68.0,24.2,50.2,4.95,6.63,32.9,47.8,71.9,1.72,197.5,322.3,3.34,0.607,89.7,68,5.039
Cotton,Central,Loamy,308.0,19.6,70.2,6.38,7.16,50.3,55.5,35.0,2.97,89.1,307.6,1.65,0.664,46.8,96,1.693
Wheat,Central,Silty,619.4,21.6,74.8,6.83,6.57,65.3,24.6,43.7,4.25,70.2,296.2,0.75,0.691,64.7,107,3.497
Maize,West,Clayey,1293.8,31.7,66.2,10.1,6.26,42.8,65.9,22.9,2.88,128.7,452.2,1.08,0.698,94.1,132,3.583
Cotton,West,Loamy,249.8,23.1,87.1,4.46,6.35,59.7,28.5,51.1,1.23,165.5,367.0,3.2,0.95,69.3,120,1.951
Cotton,East,Loamy,389.1,13.0,64.8,7.5,6.67,49.3,19.5,35.3,3.87,232.5,400.3,2.17,0.715,54.0,118,1.7
Cotton,South,Silty,754.2,21.5,30.4,5.91,6.23,66.2,61.1,67.1,4.11,170.4,319.4,2.84,0.817,74.6,114,1.562
Wheat,East,Sandy,1142.4,24.3,61.5,7.33,7.25,43.1,27.5,50.0,4.16,181.0,337.1,1.67,0.609,91.0,146,2.741
Cotton,East,Sandy,750.5,24.2,51.4,6.17,6.49,73.3,58.3,41.0,3.06,88.6,411.3,1.28,0.9,90.2,96,1.728
Cotton,Central,Clayey,875.5,27.3,80.8,8.55,6.68,60.2,32.0,41.1,5.33,161.2,162.8,2.67,0.484,80.9,134,1.831
Rice,East,Sandy,615.6,26.8,74.5,8.54,5.93,53.7,36.5,50.1,3.74,82.8,221.5,0.68,0.754,43.1,181,4.815
Maize,West,Silty,572.3,23.2,36.2,6.83,7.25,54.2,24.3,54.7,5.99,204.9,308.8,2.5,0.585,84.1,135,4.887
Maize,North,Clayey,720.5,16.8,80.3,9.16,7.51,43.0,55.3,28.6,4.35,156.8,305.0,3.63,0.749,54.1,134,4.295
Maize,West,Sandy,535.4,21.4,74.1,8.14,5.55,42.1,53.7,42.9,4.2,146.9,129.5,0.0,0.684,91.1,105,5.492
Rice,East,Sandy,881.1,20.3,55.1,9.09,6.78,53.9,32.1,45.0,2.38,180.3,391.4,1.07,0.794,87.4,172,5.262
Cotton,Central,Silty,298.4,22.3,58.8,6.94,6.42,32.0,39.1,48.0,2.05,120.6,472.7,1.99,0.677,69.1,101,2.031
Cotton,East,Clayey,922.5,28.1,80.9,8.43,6.7,41.0,47.9,63.3,3.12,120.9,463.6,1.54,0.594,53.1,119,1.544
Rice,East,Silty,709.8,26.4,30.4,5.85,6.82,35.9,34.3,25.0,2.81,92.9,216.8,1.88,0.752,102.7,67,4.393
Cotton,North,Sandy,646.3,28.9,66.7,5.7,4.94,58.6,56.4,58.4,2.46,256.9,402.0,4.22,0.478,85.9,105,1.532
Rice,Central,Loamy,289.3,21.7,76.4,10.27,7.03,58.8,38.7,50.1,2.87,136.3,251.6,1.36,0.336,61.3,140,3.351
Soybean,West,Silty,455.1,33.1,58.7,5.37,7.28,69.0,33.8,38.0,2.8,131.0,308.5,1.8,0.272,109.5,118,1.927
Maize,Central,Loamy,999.7,28.0,69.7,6.35,7.36,45.0,21.0,56.3,2.36,191.6,432.2,1.02,0.874,80.9,147,4.09
Maize,North,Silty,647.9,24.7,61.5,4.15,5.84,37.9,24.5,39.6,3.66,150.7,460.9,0.6,0.64,67.1,126,4.709
Wheat,South,Clayey,769.6,27.6,48.2,5.73,6.48,28.0,47.1,19.6,2.25,10.7,247.0,2.45,0.673,101.2,133,2.978
Soybean,Central,Loamy,480.1,19.9,47.9,5.51,6.12,54.1,42.8,5.0,2.96,271.4,237.7,0.38,0.548,96.0,146,2.51
Rice,North,Silty,692.7,11.3,70.7,5.99,5.16,71.0,49.8,28.0,1.79,121.2,479.8,0.7,0.649,91.8,81,4.319
Rice,East,Loamy,357.0,20.4,50.5,7.45,6.07,48.9,33.2,37.4,3.1,99.6,287.9,2.05,0.495,85.0,142,4.084
Wheat,East,Sandy,725.0,28.5,37.1,7.81,5.74,50.4,20.3,47.4,3.2,140.2,0.0,2.59,0.598,57.6,111,3.601
Cotton,Central,Sandy,792.7,24.5,61.8,5.49,6.73,49.9,34.0,53.4,2.04,119.0,352.8,1.13,0.331,58.7,109,1.583
Wheat,Central,Clayey,780.2,23.2,52.3,5.82,5.36,53.8,64.5,41.4,3.07,120.2,203.8,1.26,0.319,72.0,94,3.069
Soybean,Central,Clayey,474.1,18.9,42.0,8.63,5.81,65.0,28.4,25.3,2.9,157.0,265.9,0.37,0.405,40.4,132,2.427
Cotton,South,Clayey,614.5,12.3,61.1,9.56,6.14,78.8,39.6,39.7,2.54,38.4,371.2,2.51,0.474,85.7,124,1.633
Wheat,East,Sandy,834.3,32.5,71.5,8.88,7.04,57.5,11.0,41.9,2.55,194.1,78.1,2.04,0.807,78.4,142,3.266
Maize,West,Clayey,647.1,22.8,60.3,4.53,8.44,58.5,33.8,69.3,3.45,207.2,391.7,2.01,0.95,81.0,82,4.302
Maize,Central,Loamy,628.2,21.4,44.0,8.78,6.71,46.4,35.0,52.8,3.03,48.6,118.2,0.69,0.773,111.3,147,4.191
Rice,North,Clayey,1175.9,20.0,67.2,9.78,5.78,48.4,44.0,21.8,3.96,177.3,210.9,2.81,0.124,57.1,133,4.333
Soybean,Central,Loamy,462.3,31.5,75.5,4.46,6.02,48.2,36.2,40.6,1.96,98.6,338.2,1.5,0.866,82.7,98,2.377
Maize,South,Loamy,970.1,29.3,93.2,8.62,6.96,44.5,21.8,54.8,2.81,123.7,152.3,2.89,0.543,57.2,146,4.48
Maize,North,Clayey,411.3,18.2,81.6,7.34,5.56,51.9,32.0,45.3,2.39,171.1,152.8,1.34,0.366,105.5,130,6.0
Maize,West,Loamy,863.7,31.0,44.9,6.51,7.27,59.4,37.6,22.3,3.06,202.0,340.2,2.33,0.887,59.4,88,4.665
Cotton,West,Silty,877.0,23.1,72.9,7.16,6.69,51.0,28.0,56.5,3.27,169.9,363.5,1.25,0.54,117.9,125,1.803
Soybean,North,Loamy,572.4,20.3,63.8,7.66,6.41,45.8,29.8,50.1,1.82,66.6,278.7,2.96,0.457,60.7,60,2.116
Rice,North,Loamy,395.6,22.2,42.7,8.74,5.32,51.9,52.1,42.8,3.59,153.8,374.3,0.79,0.52,86.2,137,4.274
Cotton,Central,Silty,207.4,19.3,64.3,8.66,7.14,35.6,32.5,33.7,5.16,179.4,783.4,2.3,0.552,90.2,104,1.857
Cotton,Central,Loamy,546.2,16.1,88.8,4.74,5.97,62.1,45.3,59.2,3.17,103.6,121.2,0.78,0.692,97.3,79,1.683
Cotton,North,Silty,831.6,28.7,77.9,6.03,6.61,43.8,37.9,19.6,2.13,99.3,31.3,1.57,0.632,58.6,61,1.887
Soybean,Central,Sandy,430.6,22.7,44.8,7.14,6.39,32.7,25.2,23.2,2.71,145.7,434.8,2.64,0.504,56.2,128,2.683
Rice,Central,Silty,724.2,27.7,60.2,9.36,5.39,56.9,36.0,34.7,2.68,184.4,158.1,0.86,0.309,70.7,117,4.196
Soybean,Central,Silty,330.9,25.7,67.4,2.91,6.34,57.7,43.5,49.2,2.33,116.0,344.3,2.47,0.483,93.9,112,2.569
Rice,South,Loamy,641.5,27.3,34.1,6.08,5.65,37.1,60.8,25.9,3.72,164.4,372.9,2.76,0.638,80.1,126,4.55
Rice,East,Sandy,413.2,11.7,34.6,4.71,6.04,59.4,30.7,37.4,1.18,74.4,295.8,0.0,0.491,101.6,120,4.499
Maize,Central,Clayey,680.5,18.8,62.3,4.95,6.8,59.5,39.0,40.2,3.27,166.2,333.3,2.48,0.622,63.3,138,4.484
Cotton,Central,Silty,574.7,27.4,62.5,8.48,6.99,79.6,50.9,49.8,4.29,40.7,505.1,3.13,0.601,74.9,120,2.132
Maize,West,Loamy,402.4,16.4,32.4,6.2,6.49,46.5,55.1,41.1,4.23,168.6,226.5,1.25,0.772,78.5,108,5.027
Rice,North,Loamy,535.3,26.2,65.8,3.5,5.88,49.2,32.2,41.2,4.02,202.9,453.2,1.14,0.643,77.4,109,4.46
Maize,North,Sandy,466.5,15.7,76.3,6.76,6.05,40.9,38.1,35.1,2.34,140.0,142.8,0.37,0.732,91.8,125,4.903
Rice,South,Loamy,371.5,24.1,56.7,10.05,6.03,57.4,53.4,60.2,4.46,183.4,342.1,1.04,0.567,104.8,132,4.207
Soybean,North,Sandy,970.7,33.7,60.9,4.29,5.0,49.9,46.1,54.2,3.37,164.7,358.4,3.02,0.847,68.3,105,1.678
Rice,North,Loamy,610.0,28.6,68.6,7.8,6.55,64.8,52.4,53.7,4.42,67.4,290.8,1.58,0.532,70.7,108,5.194
Maize,North,Silty,149.4,12.9,66.6,9.35,5.33,43.5,54.1,34.1,4.08,79.1,416.4,2.5,0.474,86.0,127,4.551
Rice,West,Silty,544.2,29.1,35.0,6.93,6.55,57.1,46.6,37.8,3.31,128.3,305.2,1.38,0.801,86.7,128,5.143
Rice,East,Loamy,928.7,34.9,46.4,9.89,5.48,46.4,41.7,51.7,2.76,141.1,339.9,1.89,0.506,101.6,97,4.057
Cotton,East,Clayey,509.7,40.8,54.1,6.01,5.66,22.4,31.9,36.8,5.36,103.0,215.3,3.25,0.437,81.9,88,1.692
Rice,Central,Clayey,1074.4,26.9,47.1,9.17,6.97,59.4,37.1,32.0,1.22,76.8,180.2,3.35,0.432,75.9,121,4.723
Wheat,East,Clayey,485.8,15.8,82.0,8.81,6.52,23.8,37.9,49.0,2.83,0.0,177.2,2.15,0.525,115.0,132,3.344
Rice,East,Silty,825.9,26.6,69.5,6.95,5.18,47.6,54.4,26.7,1.59,250.4,226.4,1.79,0.56,86.6,127,5.879
Maize,South,Clayey,959.2,33.6,43.4,4.77,6.11,47.8,42.1,42.1,3.12,252.3,146.3,1.21,0.662,94.3,85,3.81
Wheat,East,Clayey,812.5,22.9,56.8,5.5,6.68,49.9,42.2,57.5,3.36,99.3,524.1,2.8,0.716,48.5,128,3.052
Rice,North,Loamy,356.4,30.3,77.0,3.48,6.07,50.7,28.1,47.0,2.36,63.6,263.0,1.88,0.605,77.2,142,4.359
Wheat,East,Loamy,464.4,19.0,50.3,7.89,6.26,50.6,54.5,30.3,2.43,237.3,298.9,3.3,0.742,102.6,109,4.013
Maize,Central,Clayey,992.5,26.2,72.8,7.71,6.67,55.4,30.8,51.6,1.68,22.8,162.3,0.32,0.722,82.3,104,4.262
Soybean,East,Silty,498.8,9.1,80.7,7.12,6.53,48.4,36.6,36.6,3.45,211.7,545.3,1.57,0.461,78.6,149,1.862
Cotton,South,Sandy,943.9,18.3,78.2,6.82,5.81,89.2,55.7,56.8,2.53,188.2,269.4,1.85,0.454,42.3,147,1.569
Rice,West,Clayey,592.4,24.0,62.7,9.04,6.52,44.9,50.6,52.1,3.42,129.0,229.3,2.51,0.533,77.4,97,4.486
Cotton,Central,Loamy,735.4,21.8,78.8,7.45,6.3,31.7,29.8,40.1,2.48,233.6,240.4,0.71,0.278,105.1,125,1.92
Rice,East,Sandy,353.5,16.2,52.2,6.17,7.71,28.8,27.1,34.5,3.25,110.4,274.7,1.86,0.612,80.3,93,4.057
Soybean,South,Silty,547.9,21.0,97.3,7.22,6.43,59.9,37.6,33.1,3.74,200.4,263.5,2.97,0.566,89.6,131,2.542
Maize,West,Clayey,481.2,26.0,63.6,10.07,6.59,26.1,33.1,81.3,3.48,135.0,138.5,2.31,0.845,73.6,108,5.532
Soybean,North,Loamy,756.4,23.5,77.2,7.93,6.68,31.9,22.4,12.9,3.21,77.0,403.2,2.33,0.765,73.5,95,2.267
Soybean,Central,Silty,723.3,24.4,54.6,6.42,6.27,29.7,31.0,20.4,2.9,272.6,166.3,1.19,0.555,81.3,84,2.647
